# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
-18.510569+0.000000j 18.156786+0.000000j -2.283051+0.000000j
-18.717541+0.000000j 17.937063+0.000000j -1.329697+0.000000j
-19.330407+0.000000j 17.656357+0.000000j -0.591050+0.000000j
-26.070415+0.000000j 6.196733+0.000000j 4.693496+0.000000j
-26.723575+0.000000j 4.847094+0.000000j -0.665669+0.000000j
-22.158919+0.000000j 8.755196+0.000000j -0.340647+0.000000j
-22.705645+0.000000j 9.362338+0.000000j 0.235954+0.000000j
-23.329093+0.000000j 9.149804+0.000000j -0.516470+0.000000j
-23.093833+0.000000j 9.080289+0.000000j 0.749481+0.000000j
-23.075545+0.000000j 9.125113+0.000000j 0.868380+0.000000j
-23.157592+0.000000j 9.046845+0.000000j 0.875082+0.000000j
-23.753665+0.000000j 8.811708+0.000000j 0.107354+0.000000j
-24.465789+0.000000j 8.521496+0.000000j -0.531909+0.000000j
-25.027963+0.000000j 8.159987+0.000000j -1.536705+0.000000j
-25.134423+0.000000j 8.478653+0.000000j -0.643448+0.000000j
-25.110707+0.000000j 8.549606+0.000000j -0.439722+0.000000j
-26.023617+0.000000j 8.914760+0.000000j -0.257354+0.000000j
-25.734622+0.000000j 9.249524+0.000000j 0.639538+0.000000j
-25.856372+0.000000j 8.508362+0.000000j 1.137719+0.000000j
-25.824714+0.000000j 8.541317+0.000000j 1.465986+0.000000j
-25.750822+0.000000j 8.667942+0.000000j 1.791111+0.000000j
-26.122376+0.000000j 9.510579+0.000000j 2.180868+0.000000j
-26.383147+0.000000j 10.166108+0.000000j 2.889585+0.000000j
-27.540652+0.000000j 9.224405+0.000000j 2.807033+0.000000j
-27.363418+0.000000j 9.273447+0.000000j 3.574239+0.000000j
-25.421943+0.000000j 9.272475+0.000000j 7.208959+0.000000j
-26.329840+0.000000j 9.431789+0.000000j 7.596698+0.000000j
-26.057507+0.000000j 9.540229+0.000000j 8.552770+0.000000j
-25.869937+0.000000j 9.802022+0.000000j 9.677404+0.000000j
-25.605571+0.000000j 9.891257+0.000000j 10.273676+0.000000j
-25.330006+0.000000j 9.968776+0.000000j 10.867876+0.000000j
-25.493308+0.000000j 10.738374+0.000000j 11.485170+0.000000j
-25.952256+0.000000j 11.523573+0.000000j 11.900896+0.000000j
-26.879770+0.000000j 11.335408+0.000000j 12.223870+0.000000j
-27.774179+0.000000j 10.991502+0.000000j 12.509809+0.000000j
-29.646725+0.000000j 13.668387+0.000000j -2.299409+0.000000j
-29.900061+0.000000j 13.666693+0.000000j -1.332033+0.000000j
-30.892273+0.000000j 13.652675+0.000000j -1.455798+0.000000j
-27.405037-0.000000j -2.233378-0.000000j -1.600161-0.000000j
-27.890576-0.000000j -3.015687-0.000000j -1.209974-0.000000j
-28.362031-0.000000j -3.897146-0.000000j -1.237536-0.000000j
-28.872991-0.000000j -4.222574-0.000000j -0.441913-0.000000j
-29.031436-0.000000j -5.096015-0.000000j -0.902344-0.000000j
-29.423501-0.000000j -5.422234-0.000000j -0.042189-0.000000j
-29.816130-0.000000j -6.258753-0.000000j 0.340011-0.000000j
-30.381831-0.000000j -7.040020-0.000000j 0.603840-0.000000j
-29.857091-0.000000j -6.489741-0.000000j -0.045654-0.000000j
-30.178726-0.000000j -7.082523-0.000000j 0.692696-0.000000j
-30.975505+0.000000j 0.666502+0.000000j -3.174125+0.000000j
-31.678508+0.000000j 0.908860+0.000000j -3.649519+0.000000j
-29.221108+0.000000j 20.036605+0.000000j 3.523065+0.000000j
-29.714135+0.000000j 20.248892+0.000000j 2.679347+0.000000j
-29.751236+0.000000j 20.327126+0.000000j 1.683103+0.000000j
-29.706091+0.000000j 21.365672+0.000000j 1.480732+0.000000j
-29.726383+0.000000j 21.414016+0.000000j 1.054971+0.000000j
-29.419578+0.000000j 21.278058+0.000000j 1.410379+0.000000j
-29.766169+0.000000j 22.204154+0.000000j 1.559447+0.000000j
-29.972092+0.000000j 23.154594+0.000000j 1.792382+0.000000j
-29.952261+0.000000j 23.030102+0.000000j 0.531883+0.000000j
